year_film,year_ceremony,category,name,film,winner,Taquilla,Año Ceremonia,Edad_cris,Raza_cris,Nacionalidad_cris
1958,1959,ACTOR,David Niven,Separate Tables,True,,1957.0,49.0,Blanca,Estados Unidos
1958,1959,ACTOR,Sidney Poitier,The Defiant Ones,False,,1962.0,37.0,Blanca,Reino Unido
1958,1959,ACTOR,Spencer Tracy,The Old Man and the Sea,False,,1937.0,36.0,Blanca,Estados Unidos
1958,1959,ACTOR,Spencer Tracy,The Old Man and the Sea,False,,1938.0,37.0,Blanca,Estados Unidos
1959,1960,ACTOR,Laurence Harvey,Room at the Top,False,,,,,
1959,1960,ACTOR,Charlton Heston,Ben-Hur,True,,1958.0,36.0,Blanca,Austria
1959,1960,ACTOR,Jack Lemmon,Some Like It Hot,False,,1972.0,48.0,Blanca,Australia
1959,1960,ACTOR,Paul Muni,The Last Angry Man,False,,1936.0,42.0,Blanca,Estados Unidos
1959,1960,ACTOR,James Stewart,Anatomy of a Murder,False,,1940.0,32.0,Blanca,Estados Unidos
1960,1961,ACTOR,Trevor Howard,Sons and Lovers,False,,,,,
1960,1961,ACTOR,Burt Lancaster,Elmer Gantry,True,,1959.0,46.0,Blanca,Estados Unidos
1960,1961,ACTOR,Jack Lemmon,The Apartment,False,,1972.0,48.0,Blanca,Australia
1960,1961,ACTOR,Laurence Olivier,The Entertainer,False,,1958.0,41.0,Hispano,Puerto Rico
1960,1961,ACTOR,Spencer Tracy,Inherit the Wind,False,,1937.0,36.0,Blanca,Estados Unidos
1960,1961,ACTOR,Spencer Tracy,Inherit the Wind,False,,1938.0,37.0,Blanca,Estados Unidos
1961,1962,ACTOR,Charles Boyer,Fanny,False,,,,,
1961,1962,ACTOR,Paul Newman,The Hustler,False,,1985.0,35.0,Blanca,Estados Unidos
1961,1962,ACTOR,Maximilian Schell,Judgment at Nuremberg,True,,1960.0,41.0,Afroamericana,Estados Unidos
1961,1962,ACTOR,Spencer Tracy,Judgment at Nuremberg,False,,1937.0,36.0,Blanca,Estados Unidos
1961,1962,ACTOR,Spencer Tracy,Judgment at Nuremberg,False,,1938.0,37.0,Blanca,Estados Unidos
1961,1962,ACTOR,Stuart Whitman,The Mark,False,,,,,
1962,1963,ACTOR,Burt Lancaster,Birdman of Alcatraz,False,,1959.0,46.0,Blanca,Estados Unidos
1962,1963,ACTOR,Jack Lemmon,Days of Wine and Roses,False,,1972.0,48.0,Blanca,Australia
1962,1963,ACTOR,Marcello Mastroianni,Divorce--Italian Style,False,,,,,
1962,1963,ACTOR,Peter O'Toole,Lawrence of Arabia,False,,,,,
1962,1963,ACTOR,Gregory Peck,To Kill a Mockingbird,True,,1961.0,46.0,Blanca,Estados Unidos
1963,1964,ACTOR,Albert Finney,Tom Jones,False,,,,,
1963,1964,ACTOR,Richard Harris,This Sporting Life,False,,,,,
1963,1964,ACTOR,Rex Harrison,Cleopatra,False,,1963.0,57.0,Blanca,Estados Unidos
1963,1964,ACTOR,Paul Newman,Hud,False,,1985.0,35.0,Blanca,Estados Unidos
1963,1964,ACTOR,Sidney Poitier,Lilies of the Field,True,,1962.0,37.0,Blanca,Reino Unido
1964,1965,ACTOR,Richard Burton,Becket,False,,,,,
1964,1965,ACTOR,Rex Harrison,My Fair Lady,True,,1963.0,57.0,Blanca,Estados Unidos
1964,1965,ACTOR,Peter O'Toole,Becket,False,,,,,
1964,1965,ACTOR,Anthony Quinn,Zorba the Greek,False,,,,,
1964,1965,ACTOR,Peter Sellers,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,False,,,,,
1965,1966,ACTOR,Richard Burton,The Spy Who Came In from the Cold,False,,,,,
1965,1966,ACTOR,Lee Marvin,Cat Ballou,True,,1963.0,49.0,Blanca,Estados Unidos
1965,1966,ACTOR,Laurence Olivier,Othello,False,,1958.0,41.0,Hispano,Puerto Rico
1965,1966,ACTOR,Rod Steiger,The Pawnbroker,False,,1966.0,45.0,Blanca,Estados Unidos
1965,1966,ACTOR,Oskar Werner,Ship of Fools,False,,,,,
1966,1967,ACTOR,Alan Arkin,The Russians Are Coming The Russians Are Coming,False,,,,,
1966,1967,ACTOR,Richard Burton,Who's Afraid of Virginia Woolf?,False,,,,,
1966,1967,ACTOR,Michael Caine,Alfie,False,,,,,
1966,1967,ACTOR,Steve McQueen,The Sand Pebbles,False,,,,,
1966,1967,ACTOR,Paul Scofield,A Man for All Seasons,True,,1965.0,46.0,Blanca,Estados Unidos
1967,1968,ACTOR,Warren Beatty,Bonnie and Clyde,False,,,,,
1967,1968,ACTOR,Dustin Hoffman,The Graduate,False,,1978.0,37.0,Blanca,Estados Unidos
1967,1968,ACTOR,Dustin Hoffman,The Graduate,False,,1987.0,43.0,Blanca,Reino Unido
1967,1968,ACTOR,Paul Newman,Cool Hand Luke,False,,1985.0,35.0,Blanca,Estados Unidos
1967,1968,ACTOR,Rod Steiger,In the Heat of the Night,True,,1966.0,45.0,Blanca,Estados Unidos
1967,1968,ACTOR,Spencer Tracy,Guess Who's Coming to Dinner,False,,1937.0,36.0,Blanca,Estados Unidos
1967,1968,ACTOR,Spencer Tracy,Guess Who's Coming to Dinner,False,,1938.0,37.0,Blanca,Estados Unidos
1968,1969,ACTOR,Alan Arkin,The Heart Is a Lonely Hunter,False,,,,,
1968,1969,ACTOR,Alan Bates,The Fixer,False,,,,,
1968,1969,ACTOR,Ron Moody,Oliver!,False,,,,,
1968,1969,ACTOR,Peter O'Toole,The Lion in Winter,False,,,,,
1968,1969,ACTOR,Cliff Robertson,Charly,True,,1967.0,41.0,Blanca,Estados Unidos
1969,1970,ACTOR,Richard Burton,Anne of the Thousand Days,False,,,,,
1969,1970,ACTOR,Dustin Hoffman,Midnight Cowboy,False,,1978.0,37.0,Blanca,Estados Unidos
1969,1970,ACTOR,Dustin Hoffman,Midnight Cowboy,False,,1987.0,43.0,Blanca,Reino Unido
1969,1970,ACTOR,Peter O'Toole,"Goodbye, Mr. Chips",False,,,,,
1969,1970,ACTOR,Jon Voight,Midnight Cowboy,False,,1977.0,39.0,Blanca,Estados Unidos
1969,1970,ACTOR,John Wayne,True Grit,True,,1968.0,62.0,Blanca,Estados Unidos
1970,1971,ACTOR,Melvyn Douglas,I Never Sang for My Father,False,,,,,
1970,1971,ACTOR,James Earl Jones,The Great White Hope,False,,,,,
1970,1971,ACTOR,Jack Nicholson,Five Easy Pieces,False,,1974.0,38.0,Blanca,Estados Unidos
1970,1971,ACTOR,Jack Nicholson,Five Easy Pieces,False,,1996.0,38.0,Blanca,Estados Unidos
1970,1971,ACTOR,Ryan O'Neal,Love Story,False,,,,,
1970,1971,ACTOR,George C. Scott,Patton,True,,1969.0,43.0,Blanca,Estados Unidos
1971,1972,ACTOR,Peter Finch,Sunday Bloody Sunday,False,,1975.0,59.0,Blanca,Estados Unidos
1971,1972,ACTOR,Gene Hackman,The French Connection,True,,1070.0,41.0,Blanca,Reino Unido
1971,1972,ACTOR,Walter Matthau,Kotch,False,,,,,
1971,1972,ACTOR,George C. Scott,The Hospital,False,,1969.0,43.0,Blanca,Estados Unidos
1971,1972,ACTOR,Topol,Fiddler on the Roof,False,,,,,
1972,1973,ACTOR,Marlon Brando,The Godfather,True,,1953.0,30.0,Blanca,Rusia
1972,1973,ACTOR,Marlon Brando,The Godfather,True,,1071.0,48.0,Blanca,Estados Unidos
